7b3277f0-0a29-4d10-89ca-6399058634022025/03/30 19:21:55 Error querying GraphQL: Message: internal system error, Locations: [], Extensions: map[], Path: [getBoardByName]
7b3277f0-0a29-4d10-89ca-6399058634022025/03/30 19:21:55 Error getting board: Message: internal system error, Locations: [], Extensions: map[], Path: [getBoardByName]
7b3277f0-0a29-4d10-89ca-6399058634022025/03/30 19:21:57 Error querying GraphQL: Message: internal system error, Locations: [], Extensions: map[], Path: [getBoardByName]
7b3277f0-0a29-4d10-89ca-6399058634022025/03/30 19:21:57 Error getting board: Message: internal system error, Locations: [], Extensions: map[], Path: [getBoardByName]
88408c81-1ae1-4e80-8b7f-9e715dd9e1352025/03/30 19:22:15 Error querying GraphQL: Message: 422 Unprocessable Entity, Locations: [], Extensions: map[code:request_error], Path: []
88408c81-1ae1-4e80-8b7f-9e715dd9e1352025/03/30 19:22:15 Error getting player: Message: 422 Unprocessable Entity, Locations: [], Extensions: map[code:request_error], Path: []
88408c81-1ae1-4e80-8b7f-9e715dd9e1352025/03/30 19:22:15 fatal:  Message: 422 Unprocessable Entity, Locations: [], Extensions: map[code:request_error], Path: []
fbbb8e4a-9da8-47a5-8195-ef6f88c765f32025/03/30 19:22:15 Error querying GraphQL: Message: 422 Unprocessable Entity, Locations: [], Extensions: map[code:request_error], Path: []
fbbb8e4a-9da8-47a5-8195-ef6f88c765f32025/03/30 19:22:15 Error getting player: Message: 422 Unprocessable Entity, Locations: [], Extensions: map[code:request_error], Path: []
fbbb8e4a-9da8-47a5-8195-ef6f88c765f32025/03/30 19:22:15 fatal:  Message: 422 Unprocessable Entity, Locations: [], Extensions: map[code:request_error], Path: []
2ad600e0-c8d5-4455-a6ca-9ff90aef4c8d2025/03/30 19:22:15 Error querying GraphQL: Message: 422 Unprocessable Entity, Locations: [], Extensions: map[code:request_error], Path: []
2ad600e0-c8d5-4455-a6ca-9ff90aef4c8d2025/03/30 19:22:15 Error getting player: Message: 422 Unprocessable Entity, Locations: [], Extensions: map[code:request_error], Path: []
2ad600e0-c8d5-4455-a6ca-9ff90aef4c8d2025/03/30 19:22:15 fatal:  Message: 422 Unprocessable Entity, Locations: [], Extensions: map[code:request_error], Path: []
